constraint_name,table_name,column_name,referenced_table_name,referenced_column_name,update_rule,delete_rule
"adjuster_sign_offs_claim_id_claims_id_fk","adjuster_sign_offs","claim_id","claims","id","CASCADE","CASCADE"
"ai_assessments_claim_id_claims_id_fk","ai_assessments","claim_id","claims","id","CASCADE","CASCADE"
"appointments_claim_id_claims_id_fk","appointments","claim_id","claims","id","CASCADE","CASCADE"
"approval_workflow_claim_id_claims_id_fk","approval_workflow","claim_id","claims","id","CASCADE","CASCADE"
"assessor_evaluations_claim_id_claims_id_fk","assessor_evaluations","claim_id","claims","id","CASCADE","CASCADE"
"assessor_evaluations_source_report_id_assessor_reports_id_fk","assessor_evaluations","source_report_id","assessor_reports","id","CASCADE","SET NULL"
"assessor_report_attachments_report_id_assessor_reports_id_fk","assessor_report_attachments","report_id","assessor_reports","id","CASCADE","CASCADE"
"assessor_report_reviews_claim_id_claims_id_fk","assessor_report_reviews","claim_id","claims","id","CASCADE","CASCADE"
"assessor_report_reviews_report_id_assessor_reports_id_fk","assessor_report_reviews","report_id","assessor_reports","id","CASCADE","CASCADE"
"assessor_report_reviews_reviewer_user_id_users_id_fk","assessor_report_reviews","reviewer_user_id","users","id","CASCADE","RESTRICT"
"assessor_reports_assessor_user_id_users_id_fk","assessor_reports","assessor_user_id","users","id","CASCADE","RESTRICT"
"assessor_reports_assignment_id_claim_assignments_id_fk","assessor_reports","assignment_id","claim_assignments","id","CASCADE","RESTRICT"
"assessor_reports_attested_by_user_id_users_id_fk","assessor_reports","attested_by_user_id","users","id","CASCADE","SET NULL"
"assessor_reports_claim_id_claims_id_fk","assessor_reports","claim_id","claims","id","CASCADE","CASCADE"
"audit_trail_claim_id_claims_id_fk","audit_trail","claim_id","claims","id","CASCADE","CASCADE"
"automation_audit_log_claim_id_claims_id_fk","automation_audit_log","claim_id","claims","id","CASCADE","SET NULL"
"claim_approvals_claim_id_claims_id_fk","claim_approvals","claim_id","claims","id","CASCADE","CASCADE"
"claim_assignments_assigned_by_user_id_users_id_fk","claim_assignments","assigned_by_user_id","users","id","CASCADE","SET NULL"
"claim_assignments_assigned_to_user_id_users_id_fk","claim_assignments","assigned_to_user_id","users","id","CASCADE","RESTRICT"
"claim_assignments_claim_id_claims_id_fk","claim_assignments","claim_id","claims","id","CASCADE","CASCADE"
"claim_comments_author_user_id_users_id_fk","claim_comments","author_user_id","users","id","NO ACTION","NO ACTION"
"claim_comments_claimId_claims_id_fk","claim_comments","claimId","claims","id","NO ACTION","NO ACTION"
"claim_confidence_scores_claim_id_claims_id_fk","claim_confidence_scores","claim_id","claims","id","CASCADE","CASCADE"
"claim_documents_claim_id_claims_id_fk","claim_documents","claim_id","claims","id","CASCADE","CASCADE"
"claim_documents_inspection_id_inspections_id_fk","claim_documents","inspection_id","inspections","id","CASCADE","SET NULL"
"claim_events_claim_id_claims_id_fk","claim_events","claim_id","claims","id","CASCADE","CASCADE"
"claim_intake_requests_claim_id_claims_id_fk","claim_intake_requests","claim_id","claims","id","CASCADE","SET NULL"
"claim_intelligence_dataset_claim_id_claims_id_fk","claim_intelligence_dataset","claim_id","claims","id","CASCADE","SET NULL"
"claim_involvement_tracking_claim_id_claims_id_fk","claim_involvement_tracking","claim_id","claims","id","CASCADE","CASCADE"
"claim_routing_decisions_claim_id_claims_id_fk","claim_routing_decisions","claim_id","claims","id","CASCADE","CASCADE"
"component_repair_outcomes_claim_id_claims_id_fk","component_repair_outcomes","claim_id","claims","id","CASCADE","CASCADE"
"cost_learning_records_claim_id_claims_id_fk","cost_learning_records","claim_id","claims","id","CASCADE","SET NULL"
"cross_claim_signals_claim_id_claims_id_fk","cross_claim_signals","claim_id","claims","id","CASCADE","CASCADE"
