table_name,index_name,seq_in_index,column_name,non_unique
"access_denial_log","PRIMARY","1","id","0"
"adjuster_sign_offs","PRIMARY","1","id","0"
"agency_assisted_claimant_identities","PRIMARY","1","id","0"
"agency_assisted_claimant_identities","uq_agency_assisted_claimant_identity","1","agency_tenant_id","0"
"agency_assisted_claimant_identities","uq_agency_assisted_claimant_identity","2","agency_client_id","0"
"agency_assisted_claimant_identities","uq_agency_assisted_claimant_identity","3","insurer_tenant_id","0"
"agency_clients","PRIMARY","1","id","0"
"agency_documents","PRIMARY","1","id","0"
"agency_insurance_service_request_insurers","PRIMARY","1","id","0"
"agency_insurance_service_request_insurers","uq_agency_service_request_insurer","1","service_request_id","0"
"agency_insurance_service_request_insurers","uq_agency_service_request_insurer","2","insurer_tenant_id","0"
"agency_insurance_service_requests","PRIMARY","1","id","0"
"agency_insurance_service_requests","uq_agency_insurance_service_request_number","1","request_number","0"
"agency_insurance_valuation_deviations","PRIMARY","1","id","0"
"agency_insurance_valuation_deviations","uq_agency_insurance_valuation_deviation_request","1","service_request_id","0"
"agency_product_commission_configs","PRIMARY","1","id","0"
"agency_product_commission_configs","uq_agency_product_commission","1","agency_tenant_id","0"
"agency_product_commission_configs","uq_agency_product_commission","2","product_id","0"
"ai_assessments","PRIMARY","1","id","0"
"ai_prediction_logs","PRIMARY","1","id","0"
"anonymization_audit_log","PRIMARY","1","id","0"
"appointments","PRIMARY","1","id","0"
"approval_workflow","PRIMARY","1","id","0"
"assessor_deviation_metrics","PRIMARY","1","id","0"
"assessor_evaluations","PRIMARY","1","id","0"
"assessor_insurer_relationships","PRIMARY","1","id","0"
"assessor_report_attachments","PRIMARY","1","id","0"
"assessor_report_reviews","PRIMARY","1","id","0"
"assessor_reports","PRIMARY","1","id","0"
"assessor_reports","uq_assessor_reports_claim_version","1","claim_id","0"
"assessor_reports","uq_assessor_reports_claim_version","2","version_number","0"
"assessor_subscriptions","PRIMARY","1","id","0"
"assessors","PRIMARY","1","id","0"
"asset_registry","PRIMARY","1","id","0"
"asset_registry","idx_ar_ref","1","asset_ref","0"
"audit_trail","PRIMARY","1","id","0"
"automation_audit_log","PRIMARY","1","id","0"
"automation_policies","PRIMARY","1","id","0"
"bias_detection_flags","PRIMARY","1","id","0"
"calibration_overrides","PRIMARY","1","id","0"
"claim_approvals","PRIMARY","1","id","0"
"claim_assignments","PRIMARY","1","id","0"
"claim_comment_reads","PRIMARY","1","id","0"
"claim_comment_reads","uq_ccr_comment_user","1","comment_id","0"
"claim_comment_reads","uq_ccr_comment_user","2","user_id","0"
"claim_comments","PRIMARY","1","id","0"
"claim_confidence_scores","PRIMARY","1","id","0"
"claim_decision_lifecycle","PRIMARY","1","id","0"
"claim_decision_lifecycle","idx_cdl_claim_unique","1","claim_id","0"
"claim_documents","PRIMARY","1","id","0"
"claim_events","PRIMARY","1","id","0"
"claim_intake_requests","PRIMARY","1","id","0"
"claim_intake_requests","uq_claim_intake_request_actor","1","tenant_id","0"
"claim_intake_requests","uq_claim_intake_request_actor","2","user_id","0"
"claim_intake_requests","uq_claim_intake_request_actor","3","idempotency_key","0"
"claim_intelligence_dataset","PRIMARY","1","id","0"
"claim_intelligence_dataset","idx_cid_claim_id_unique","1","claim_id","0"
"claim_involvement_tracking","PRIMARY","1","id","0"
"claim_review_queue","PRIMARY","1","id","0"
"claim_routing_decisions","PRIMARY","1","id","0"
"claims","PRIMARY","1","id","0"
"claims","idx_claims_source_document_id","1","source_document_id","0"
"client_insurance_service_requests","PRIMARY","1","id","0"
"client_vehicle_valuation_requests","PRIMARY","1","id","0"
"commission_records","PRIMARY","1","id","0"
"component_benchmarks","PRIMARY","1","id","0"
"component_repair_outcomes","PRIMARY","1","id","0"
"cost_components","PRIMARY","1","id","0"
"cost_learning_records","PRIMARY","1","id","0"
"country_repair_index","PRIMARY","1","id","0"
"cross_claim_signals","PRIMARY","1","id","0"
"cross_claim_signals","idx_ccs_claim_signal_unique","1","claim_id","0"
"cross_claim_signals","idx_ccs_claim_signal_unique","2","signal_type","0"
"currency_exchange_rates","PRIMARY","1","id","0"
"customer_consent","PRIMARY","1","id","0"
"customer_documents","PRIMARY","1","id","0"
"dataset_access_grants","PRIMARY","1","id","0"
"decision_snapshots","PRIMARY","1","id","0"
"document_naming_templates","PRIMARY","1","id","0"
"driver_claims","PRIMARY","1","id","0"
"driver_claims","idx_dc_unique","1","driver_id","0"
"driver_claims","idx_dc_unique","2","claim_id","0"
"driver_claims","idx_dc_unique","3","role","0"
"drivers","PRIMARY","1","id","0"
"drivers","idx_drivers_license_number","1","license_number","0"
"engineer_observations","PRIMARY","1","id","0"
"engineer_profiles","PRIMARY","1","id","0"
"engineer_profiles","idx_ep_user_id","1","user_id","0"
"extracted_document_data","PRIMARY","1","id","0"
"extracted_repair_items","PRIMARY","1","id","0"
"fast_track_config","PRIMARY","1","id","0"
"fast_track_routing_log","PRIMARY","1","id","0"
"federated_learning_metadata","PRIMARY","1","id","0"
"final_approval_records","PRIMARY","1","id","0"
"fleet_accounts","PRIMARY","1","id","0"
"fleet_audit_logs","PRIMARY","1","id","0"
"fleet_documents","PRIMARY","1","id","0"
"fleet_drivers","PRIMARY","1","id","0"
"fleet_incident_reports","PRIMARY","1","id","0"
"fleet_intelligence_snapshots","PRIMARY","1","id","0"
"fleet_manager_requests","PRIMARY","1","id","0"
"fleet_rfq_client_instructions","PRIMARY","1","id","0"
"fleet_rfq_client_instructions","uq_fleet_rfq_client_instruction","1","quote_request_id","0"
"fleet_risk_scores","PRIMARY","1","id","0"
"fleet_vehicles","PRIMARY","1","id","0"
"fleets","PRIMARY","1","id","0"
"fraud_alerts","PRIMARY","1","id","0"
"fraud_indicators","PRIMARY","1","id","0"
"fraud_rules","PRIMARY","1","id","0"
"fuel_records","PRIMARY","1","id","0"
"generated_reports","PRIMARY","1","id","0"
"global_anonymized_dataset","PRIMARY","1","id","0"
"global_search_analytics","PRIMARY","1","id","0"
"global_search_history","PRIMARY","1","id","0"
