TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,COLUMN_TYPE,EXTRA
"kinga_staging","routing_threshold_config","id","1","","NO","varchar(64)",""
"kinga_staging","routing_threshold_config","tenant_id","2","","NO","varchar(64)",""
"kinga_staging","routing_threshold_config","version","3","","NO","varchar(50)",""
"kinga_staging","routing_threshold_config","high_threshold","4","","NO","decimal(5,2)",""
"kinga_staging","routing_threshold_config","medium_threshold","5","","NO","decimal(5,2)",""
"kinga_staging","routing_threshold_config","ai_fast_track_enabled","6","1","NO","tinyint",""
"kinga_staging","routing_threshold_config","created_by_user_id","7","","NO","int",""
"kinga_staging","routing_threshold_config","created_at","8","CURRENT_TIMESTAMP","NO","timestamp",""
"kinga_staging","routing_threshold_config","is_active","9","1","NO","tinyint",""
"kinga_staging","service_providers","id","1","","NO","int","auto_increment"
"kinga_staging","service_providers","provider_name","2","","NO","varchar(255)",""
"kinga_staging","service_providers","provider_type","3","","NO","enum('panel_beater','mechanic','dealership','specialist')",""
"kinga_staging","service_providers","contact_person","4","","YES","varchar(255)",""
"kinga_staging","service_providers","email","5","","YES","varchar(320)",""
"kinga_staging","service_providers","phone","6","","YES","varchar(20)",""
"kinga_staging","service_providers","address","7","","YES","text",""
"kinga_staging","service_providers","city","8","","YES","varchar(100)",""
"kinga_staging","service_providers","region","9","","YES","varchar(100)",""
"kinga_staging","service_providers","specializations","10","","YES","text",""
"kinga_staging","service_providers","certifications","11","","YES","text",""
"kinga_staging","service_providers","average_rating","12","","YES","decimal(3,2)",""
"kinga_staging","service_providers","total_jobs_completed","13","0","YES","int",""
"kinga_staging","service_providers","average_completion_time","14","","YES","decimal(6,2)",""
"kinga_staging","service_providers","average_cost_deviation","15","","YES","decimal(5,2)",""
"kinga_staging","service_providers","on_time_completion_rate","16","","YES","decimal(5,2)",""
"kinga_staging","service_providers","is_active","17","1","YES","tinyint",""
"kinga_staging","service_providers","is_verified","18","0","YES","tinyint",""
"kinga_staging","service_providers","verified_at","19","","YES","timestamp",""
"kinga_staging","service_providers","created_at","20","CURRENT_TIMESTAMP","NO","timestamp",""
