table_name,ordinal_position,column_name,column_type,is_nullable,column_default,extra,column_key
"assessor_insurer_relationships","1","id","int","NO","","auto_increment","PRI"
"assessor_insurer_relationships","2","assessor_id","int","NO","","","MUL"
"assessor_insurer_relationships","3","tenant_id","varchar(64)","NO","","","MUL"
"assessor_insurer_relationships","4","relationship_type","enum('insurer_owned','marketplace_contract','preferred_vendor')","NO","","","MUL"
"assessor_insurer_relationships","5","relationship_status","enum('active','suspended','terminated')","YES","active","","MUL"
"assessor_insurer_relationships","6","contract_start_date","timestamp","NO","","",""
"assessor_insurer_relationships","7","contract_end_date","timestamp","YES","","",""
"assessor_insurer_relationships","8","contracted_rate_per_assessment","decimal(10,2)","YES","","",""
"assessor_insurer_relationships","9","marketplace_commission_rate","decimal(5,2)","YES","","",""
"assessor_insurer_relationships","10","performance_rating","decimal(3,2)","YES","","",""
"assessor_insurer_relationships","11","total_assignments_completed","int","YES","0","",""
"assessor_insurer_relationships","12","total_assignments_rejected","int","YES","0","",""
"assessor_insurer_relationships","13","average_completion_time_hours","decimal(8,2)","YES","","",""
"assessor_insurer_relationships","14","is_preferred_vendor","tinyint","YES","0","","MUL"
"assessor_insurer_relationships","15","preferred_vendor_since","timestamp","YES","","",""
"assessor_insurer_relationships","16","created_at","timestamp","NO","CURRENT_TIMESTAMP","",""
"assessor_insurer_relationships","17","updated_at","timestamp","NO","CURRENT_TIMESTAMP","DEFAULT_GENERATED on update CURRENT_TIMESTAMP",""
"fleet_drivers","1","id","int","NO","","auto_increment","PRI"
"fleet_drivers","2","fleet_id","int","NO","","","MUL"
"fleet_drivers","3","tenant_id","varchar(64)","NO","","","MUL"
"fleet_drivers","4","user_id","int","NO","","","MUL"
"fleet_drivers","5","driver_license_number","varchar(50)","NO","","",""
"fleet_drivers","6","license_expiry","date","NO","","",""
"fleet_drivers","7","license_class","varchar(20)","YES","","",""
"fleet_drivers","8","hire_date","date","NO","","",""
"fleet_drivers","9","employment_status","enum('active','suspended','terminated')","NO","active","",""
"fleet_drivers","10","termination_date","date","YES","","",""
"fleet_drivers","11","emergency_contact_name","varchar(255)","YES","","",""
"fleet_drivers","12","emergency_contact_phone","varchar(50)","YES","","",""
"fleet_drivers","13","created_at","timestamp","NO","CURRENT_TIMESTAMP","",""
"fleet_drivers","14","updated_at","timestamp","NO","CURRENT_TIMESTAMP","DEFAULT_GENERATED on update CURRENT_TIMESTAMP",""
"policy_claim_links","1","id","int","NO","","auto_increment","PRI"
"policy_claim_links","2","policy_id","int","NO","","","MUL"
"policy_claim_links","3","claim_id","int","NO","","","MUL"
"policy_claim_links","4","coverage_verified","tinyint","YES","0","",""
"policy_claim_links","5","verified_by","int","YES","","",""
"policy_claim_links","6","verified_at","timestamp","YES","","",""
"policy_claim_links","7","coverage_approved","tinyint","YES","","",""
"policy_claim_links","8","coverage_decision_reason","text","YES","","",""
"policy_claim_links","9","tenant_id","varchar(255)","YES","","",""
"policy_claim_links","10","created_at","timestamp","NO","CURRENT_TIMESTAMP","",""
